,Author,Fake_Quote,Prompt,Model
0,Maya Angelou,"Dreams whisper in silence, daring only the bold to listen.","Generate two Python lists of equal length:
	1.	quotes: A list of 50 fake inspirational or thought-provoking quotes. Each quote should be a short, coherent sentence, ideally between 8–20 words. The quotes must not be attributed to real people or real quotes.
	2.	authors: A list of 50 corresponding real author names. Each name should be of a real author. and must belong to real public figures. The names should be formatted as regular full names (first and last).

Make sure each quote at index i in quotes was “written” by the author at index i in authors. Output only the two Python lists as variables.",gpt-4o
1,Haruki Murakami,The storm teaches lessons the sunshine never could.,"Generate two Python lists of equal length:
	1.	quotes: A list of 50 fake inspirational or thought-provoking quotes. Each quote should be a short, coherent sentence, ideally between 8–20 words. The quotes must not be attributed to real people or real quotes.
	2.	authors: A list of 50 corresponding real author names. Each name should be of a real author. and must belong to real public figures. The names should be formatted as regular full names (first and last).

Make sure each quote at index i in quotes was “written” by the author at index i in authors. Output only the two Python lists as variables.",gpt-4o
2,George Orwell,Purpose thrives where comfort fears to tread.,"Generate two Python lists of equal length:
	1.	quotes: A list of 50 fake inspirational or thought-provoking quotes. Each quote should be a short, coherent sentence, ideally between 8–20 words. The quotes must not be attributed to real people or real quotes.
	2.	authors: A list of 50 corresponding real author names. Each name should be of a real author. and must belong to real public figures. The names should be formatted as regular full names (first and last).

Make sure each quote at index i in quotes was “written” by the author at index i in authors. Output only the two Python lists as variables.",gpt-4o
3,Virginia Woolf,Growth begins the moment certainty ends.,"Generate two Python lists of equal length:
	1.	quotes: A list of 50 fake inspirational or thought-provoking quotes. Each quote should be a short, coherent sentence, ideally between 8–20 words. The quotes must not be attributed to real people or real quotes.
	2.	authors: A list of 50 corresponding real author names. Each name should be of a real author. and must belong to real public figures. The names should be formatted as regular full names (first and last).

Make sure each quote at index i in quotes was “written” by the author at index i in authors. Output only the two Python lists as variables.",gpt-4o
4,James Baldwin,Even shadows need light to exist.,"Generate two Python lists of equal length:
	1.	quotes: A list of 50 fake inspirational or thought-provoking quotes. Each quote should be a short, coherent sentence, ideally between 8–20 words. The quotes must not be attributed to real people or real quotes.
	2.	authors: A list of 50 corresponding real author names. Each name should be of a real author. and must belong to real public figures. The names should be formatted as regular full names (first and last).

Make sure each quote at index i in quotes was “written” by the author at index i in authors. Output only the two Python lists as variables.",gpt-4o
5,Ernest Hemingway,"Let your doubts be the fuel, not the fire.","Generate two Python lists of equal length:
	1.	quotes: A list of 50 fake inspirational or thought-provoking quotes. Each quote should be a short, coherent sentence, ideally between 8–20 words. The quotes must not be attributed to real people or real quotes.
	2.	authors: A list of 50 corresponding real author names. Each name should be of a real author. and must belong to real public figures. The names should be formatted as regular full names (first and last).

Make sure each quote at index i in quotes was “written” by the author at index i in authors. Output only the two Python lists as variables.",gpt-4o
6,Jane Austen,Time bends for those who walk with intention.,"Generate two Python lists of equal length:
	1.	quotes: A list of 50 fake inspirational or thought-provoking quotes. Each quote should be a short, coherent sentence, ideally between 8–20 words. The quotes must not be attributed to real people or real quotes.
	2.	authors: A list of 50 corresponding real author names. Each name should be of a real author. and must belong to real public figures. The names should be formatted as regular full names (first and last).

Make sure each quote at index i in quotes was “written” by the author at index i in authors. Output only the two Python lists as variables.",gpt-4o
7,F. Scott Fitzgerald,The edge of fear is often the start of flight.,"Generate two Python lists of equal length:
	1.	quotes: A list of 50 fake inspirational or thought-provoking quotes. Each quote should be a short, coherent sentence, ideally between 8–20 words. The quotes must not be attributed to real people or real quotes.
	2.	authors: A list of 50 corresponding real author names. Each name should be of a real author. and must belong to real public figures. The names should be formatted as regular full names (first and last).

Make sure each quote at index i in quotes was “written” by the author at index i in authors. Output only the two Python lists as variables.",gpt-4o
8,Toni Morrison,"Mountains are moved by quiet, consistent hands.","Generate two Python lists of equal length:
	1.	quotes: A list of 50 fake inspirational or thought-provoking quotes. Each quote should be a short, coherent sentence, ideally between 8–20 words. The quotes must not be attributed to real people or real quotes.
	2.	authors: A list of 50 corresponding real author names. Each name should be of a real author. and must belong to real public figures. The names should be formatted as regular full names (first and last).

Make sure each quote at index i in quotes was “written” by the author at index i in authors. Output only the two Python lists as variables.",gpt-4o
9,Ray Bradbury,"Wander far enough, and you meet yourself.","Generate two Python lists of equal length:
	1.	quotes: A list of 50 fake inspirational or thought-provoking quotes. Each quote should be a short, coherent sentence, ideally between 8–20 words. The quotes must not be attributed to real people or real quotes.
	2.	authors: A list of 50 corresponding real author names. Each name should be of a real author. and must belong to real public figures. The names should be formatted as regular full names (first and last).

Make sure each quote at index i in quotes was “written” by the author at index i in authors. Output only the two Python lists as variables.",gpt-4o
