,quote,author
47,"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.",Mahatma Gandhi
61,Where there is love there is life.,Mahatma Gandhi
152,"Hate the sin, love the sinner.",Mahatma Gandhi
533,"The day the power of love overrules the love of power, the world will know peace.",Mahatma Gandhi
549,Whenever you are confronted with an opponent. Conquer him with love.,Mahatma Gandhi
930,"And I can fight only for something that I love, love only what I respect, and respect only what I at least know.",Adolf Hitler
990,Love is the strongest force the world possesses and yet it is the humblest imaginable.,Mahatma Gandhi
1208,"In itself, homosexuality is as limiting as heterosexuality: the ideal should be to be capable of loving a woman or a man; either, a human being, without feeling fear, restraint, or obligation.",Simone de Beauvoir
1666,"One's life has value so long as one attributes value to the life of others, by means of love, friendship, and compassion",Simone de Beauvoir
2877,Power is of two kinds. One is obtained by the fear of punishment and the other by acts of love. Power based on love is a thousand times more effective and permanent than the one derived from fear of punishment.,Mahatma Gandhi
3176,"I am awfully greedy; I want everything from life. I want to be a woman and to be a man, to have many friends and to have loneliness, to work much and write good books, to travel and enjoy myself, to be selfish and to be unselfish… You see, it is difficult to get all which I want. And then when I do not succeed I get mad with anger.",Simone de Beauvoir
3419,Action expresses priorities.,Mahatma Gandhi
3573,There is more to life than simply increasing its speed.,Mahatma Gandhi
5604,Be the change that you wish to see in the world.,Mahatma Gandhi
5606,Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi
5671,Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.,Mahatma Gandhi
5810,"Earth provides enough to satisfy every man's needs, but not every man's greed.",Mahatma Gandhi
5912,Resentment is like drinking poison and then hoping it will kill your enemies.,Nelson Mandela
5949,People don't realize how a man's whole life can be changed by one book.,Malcolm X
